"logPo2" " T/C" "Ox content" "Charge"  "relax number"  Ca3Co4O9 weight: 0.1406 density:  4.60 molar mass:  499.9 cell volume: 0.600
 -3.385   799.4   7.66547    0.00000  436
 -4.291   749.8   7.66548    0.00000  437
 -3.362   799.2   7.66547    0.00000  438
 -2.470   849.7   7.66534    0.00000  439
 -1.798   900.4   7.66482    0.00000  440
 -1.857   900.7   7.64644   -1.00181  441
 -2.523   850.5   7.64690    0.00000  442
 -3.334   799.4   7.64701    0.00000  443
 -4.227   749.7   7.64702    0.00000  444
 -3.302   799.4   7.64700    0.00000  445
 -2.427   850.1   7.64686    0.00000  446
 -1.810   900.4   7.64638    0.00000  447
 -1.844   900.8   7.62797   -1.00196  448
 -2.476   850.3   7.62842    0.00000  449
 -3.277   799.7   7.62854    0.00000  450
 -4.181   749.1   7.62856    0.00000  451
 -3.246   799.7   7.62854    0.00000  452
 -2.395   850.1   7.62839    0.00000  453
 -1.810   900.3   7.62792    0.00000  454
 -1.881   900.1   7.60953   -1.00306  455
 -2.499   850.4   7.60995    0.00000  456
 -3.287   799.7   7.61006    0.00000  457
 -4.175   749.1   7.61008    0.00000  458
 -3.254   799.5   7.61006    0.00000  459
 -2.404   850.1   7.60991    0.00000  460
 -1.814   900.3   7.60944    0.00000  461
 -1.841   900.6   7.59101   -1.00232  462
 -2.471   850.7   7.59147    0.00000  463
 -3.254   799.5   7.59159    0.00000  464
 -4.116   750.1   7.59161    0.00000  465
 -3.218   799.7   7.59159    0.00000  466
 -2.386   850.3   7.59144    0.00000  467
 -1.811   900.7   7.59097    0.00000  468
 -1.857   900.4   7.53553   -3.01233  469
 -2.474   850.8   7.53597    0.00000  470
 -3.230   799.7   7.53609    0.00000  471
 -4.074   749.3   7.53611    0.00000  472
 -3.186   799.5   7.53609    0.00000  473
 -2.393   850.4   7.53594    0.00000  474
 -1.833   900.6   7.53550    0.00000  475
 -1.880   900.3   7.48009   -3.01050  476
 -2.478   850.6   7.48050    0.00000  477
 -3.216   799.7   7.48062    0.00000  478
 -4.045   749.2   7.48064    0.00000  479
 -3.165   800.3   7.48062    0.00000  480
 -2.406   850.2   7.48047    0.00000  481
 -1.840   900.4   7.48004    0.00000  482
 -1.859   900.5   7.42459   -3.01105  483
 -2.464   850.6   7.42502    0.00000  484
 -3.196   799.8   7.42514    0.00000  485
 -4.017   749.2   7.42516    0.00000  486
 -3.146   800.2   7.42514    0.00000  487
 -2.420   849.3   7.42500    0.00000  488
 -1.839   900.8   7.42456    0.00000  489
 -1.863   900.3   7.36912   -3.01046  490
 -2.456   850.6   7.36955    0.00000  491
 -3.181   799.7   7.36967    0.00000  492
 -3.994   749.1   7.36970    0.00000  493
 -3.128   800.3   7.36967    0.00000  494
 -2.410   850.1   7.36953    0.00000  495
 -1.847   900.4   7.36910    0.00000  496
 -1.873   900.2   7.31369   -3.00960  497
 -2.460   850.7   7.31410    0.00000  498
